"Indicator","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Display Value","Numeric","Low","High","Comments"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Africa","Low-income","Democratic Republic of the Congo","53 [23-95]","53","23","95",
"Number of deaths due to tuberculosis excluding HIV","Published","2010","Africa","Low-income","Burundi","1800 [840-3200]","1800","840","3200",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Africa","Low-income","Burkina Faso","96 [49-159]","96","49","159",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Western Pacific","Lower-middle-income","Solomon Islands","85 [38-150]","85","38","150",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Americas","Upper-middle-income","Costa Rica","24 [12-39]","24","12","39",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Europe","Lower-middle-income","Republic of Moldova","242 [113-419]","242","113","419",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Western Pacific","Lower-middle-income","Vanuatu","20 [8.8-35]","20","8.8","35",
"Number of prevalent tuberculosis cases ","Published","2010","Eastern Mediterranean","Lower-middle-income","Egypt","23000 [12000-39000]","23000","12000","39000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Africa","Low-income","Benin","9.3 [4.1-16]","9.3","4.1","16",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Europe","High-income","Austria","43 [43-43]","43","43","43",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Eastern Mediterranean","High-income","Saudi Arabia","1000 [96-2900]","1000","96","2900",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Americas","Upper-middle-income","Uruguay","25 [9.8-46]","25","9.8","46",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Americas","Upper-middle-income","Costa Rica","0.8 [0.7-0.89]","0.8","0.7","0.89",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Africa","Low-income","Benin","840 [370-1500]","840","370","1500",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Africa","Low-income","Comoros","45 [19-81]","45","19","81",
"Number of prevalent tuberculosis cases ","Published","2010","Americas","Upper-middle-income","Brazil","110000 [47000-210000]","110000","47000","210000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Europe","High-income","Iceland","14 [7.5-24]","14","7.5","24",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Americas","Upper-middle-income","Brazil","58 [24-106]","58","24","106",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Eastern Mediterranean","High-income","Saudi Arabia","23 [9.6-43]","23","9.6","43",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Americas","Low-income","Haiti","25 [10-48]","25","10","48",
"Number of prevalent tuberculosis cases ","Published","2007","Western Pacific","High-income","Japan","39000 [16000-72000]","39000","16000","72000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Europe","Upper-middle-income","Russian Federation","184 [89-313]","184","89","313",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Eastern Mediterranean","High-income","Saudi Arabia","3.9 [0.37-11]","3.9","0.37","11",
"Number of prevalent tuberculosis cases ","Published","2007","Eastern Mediterranean","Lower-middle-income","Sudan","91000 [46000-150000]","91000","46000","150000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","South-East Asia","Low-income","Bangladesh","454 [228-757]","454","228","757",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Eastern Mediterranean","Upper-middle-income","Libya","260 [110-470]","260","110","470",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Americas","High-income","Bahamas","10 [4.2-19]","10","4.2","19",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","Americas","Upper-middle-income","Peru","127 [40-263]","127","40","263",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Europe","Lower-middle-income","Republic of Moldova","480 [470-500]","480","470","500",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Africa","Low-income","Burundi","20 [9.1-35]","20","9.1","35",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Africa","Low-income","Ethiopia","20 [14-26]","20","14","26",
"Prevalence of tuberculosis (per 100 000 population)","Published","2010","South-East Asia","Low-income","Nepal","238 [105-425]","238","105","425",
"Number of prevalent tuberculosis cases ","Published","2007","South-East Asia","Lower-middle-income","Timor-Leste","8200 [3700-14000]","8200","3700","14000",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Europe","Upper-middle-income","Serbia","160 [140-170]","160","140","170",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Africa","Lower-middle-income","Congo","1700 [760-3100]","1700","760","3100",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Eastern Mediterranean","Upper-middle-income","Lebanon","72 [38-120]","72","38","120",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2007","Africa","Upper-middle-income","Algeria","14 [4.8-28]","14","4.8","28",
"Number of prevalent tuberculosis cases ","Published","2010","Europe","High-income","Switzerland","850 [390-1500]","850","390","1500",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Americas","Upper-middle-income","Dominica","3.4 [3.4-3.4]","3.4","3.4","3.4",
"Number of prevalent tuberculosis cases ","Published","2007","South-East Asia","Low-income","Bangladesh","670000 [330000-1100000]","670000","330000","1100000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Americas","High-income","Antigua and Barbuda","4.8 [1.2-11]","4.8","1.2","11",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Americas","Low-income","Haiti","340 [164-580]","340","164","580",
"Number of prevalent tuberculosis cases ","Published","2007","Europe","Upper-middle-income","The former Yugoslav Republic of Macedonia","610 [180-1300]","610","180","1300",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2009","Europe","High-income","Cyprus","0.12 [0.1-0.13]","0.12","0.1","0.13",
"Number of prevalent tuberculosis cases ","Published","2008","Europe","High-income","Croatia","1700 [820-2900]","1700","820","2900",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Europe","High-income","Denmark","9.6 [4.2-17]","9.6","4.2","17",
"Number of deaths due to tuberculosis excluding HIV","Published","2007","Africa","Lower-middle-income","Angola","4900 [2000-9000]","4900","2000","9000",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Africa","Upper-middle-income","Mauritius","15 [15-15]","15","15","15",
"Number of deaths due to tuberculosis excluding HIV","Published","2008","Europe","Upper-middle-income","Russian Federation","26000 [26000-27000]","26000","26000","27000",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Africa","Low-income","Benin","106 [52-177]","106","52","177",
"Number of prevalent tuberculosis cases ","Published","2010","Europe","High-income","Iceland","46 [24-75]","46","24","75",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Europe","High-income","Sweden","0.19 [0.18-0.19]","0.19","0.18","0.19",
"Number of prevalent tuberculosis cases ","Published","2009","Eastern Mediterranean","High-income","Bahrain","550 [260-940]","550","260","940",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Western Pacific","Lower-middle-income","Tonga","2.5 [1.1-4.6]","2.5","1.1","4.6",
"Number of prevalent tuberculosis cases ","Published","2008","Americas","High-income","Antigua and Barbuda","4.1 [1-9.4]","4.1","1","9.4",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Americas","Lower-middle-income","Nicaragua","65 [28-118]","65","28","118",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","South-East Asia","Lower-middle-income","Maldives","6.7 [6-7.5]","6.7","6","7.5",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Western Pacific","High-income","New Zealand","6.9 [6.9-6.9]","6.9","6.9","6.9",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Eastern Mediterranean","High-income","Bahrain","29 [14-49]","29","14","49",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","South-East Asia","Lower-middle-income","Maldives","65 [30-113]","65","30","113",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Western Pacific","High-income","New Zealand","11 [4.4-20]","11","4.4","20",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Eastern Mediterranean","High-income","Bahrain","4.5 [3.7-5.4]","4.5","3.7","5.4",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Europe","High-income","Cyprus","1.3 [1.1-1.4]","1.3","1.1","1.4",
"Prevalence of tuberculosis (per 100 000 population)","Published","2012","Europe","Lower-middle-income","Azerbaijan","124 [44-245]","124","44","245",
"Prevalence of tuberculosis (per 100 000 population)","Published","2007","Africa","Low-income","Kenya","344 [180-560]","344","180","560",
"Number of prevalent tuberculosis cases ","Published","2009","Americas","Low-income","Haiti","33000 [16000-57000]","33000","16000","57000",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Eastern Mediterranean","Lower-middle-income","Tunisia","320 [170-500]","320","170","500",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Europe","High-income","Croatia","22 [9.1-41]","22","9.1","41",
"Number of deaths due to tuberculosis excluding HIV","Published","2009","Europe","High-income","Denmark","28 [27-29]","28","27","29",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Africa","Low-income","Guinea-Bissau","306 [145-525]","306","145","525",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Europe","Upper-middle-income","Bulgaria","48 [20-88]","48","20","88",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Africa","Low-income","Guinea-Bissau","460 [150-920]","460","150","920",
"Number of prevalent tuberculosis cases ","Published","2009","Western Pacific","Lower-middle-income","Marshall Islands","420 [40-1200]","420","40","1200",
"Number of deaths due to tuberculosis excluding HIV","Published","2011","Europe","Upper-middle-income","Bulgaria","160 [160-160]","160","160","160",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2010","Africa","Lower-middle-income","Lesotho","14 [0.02-66]","14","0.02","66",
"Number of deaths due to tuberculosis excluding HIV","Published","2012","Europe","Lower-middle-income","Albania","9.7 [5.2-16]","9.7","5.2","16",
"Prevalence of tuberculosis (per 100 000 population)","Published","2008","Eastern Mediterranean","Low-income","Yemen","101 [49-172]","101","49","172",
"Prevalence of tuberculosis (per 100 000 population)","Published","2011","Europe","Low-income","Kyrgyzstan","211 [96-370]","211","96","370",
"Number of prevalent tuberculosis cases ","Published","2008","Eastern Mediterranean","Low-income","Yemen","22000 [11000-37000]","22000","11000","37000",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2012","Africa","Low-income","Eritrea","4.6 [3-6.5]","4.6","3","6.5",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Africa","Low-income","Madagascar","51 [21-92]","51","21","92",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Americas","Lower-middle-income","Belize","53 [24-93]","53","24","93",
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","Published","2008","Eastern Mediterranean","High-income","Qatar","0.6 [0.48-0.74]","0.6","0.48","0.74",
"Prevalence of tuberculosis (per 100 000 population)","Published","2009","Europe","High-income","Estonia","42 [19-74]","42","19","74",
