"DE","Year","Country","CO","Numeric"
"Prevalence of tuberculosis (per 100 000 population)","2007","Latvia",,"87"
"Number of prevalent tuberculosis cases ","2012","Malawi",,"22000"
"Number of deaths due to tuberculosis excluding HIV","2009","Netherlands",,"39"
"Prevalence of tuberculosis (per 100 000 population)","2011","Belize",,"52"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Dominican Republic",,"6.1"
"Number of prevalent tuberculosis cases ","2007","Ghana",,"36000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Gabon",,"62"
"Number of prevalent tuberculosis cases ","2011","Marshall Islands",,"510"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Ukraine",,"18"
"Number of prevalent tuberculosis cases ","2010","Mauritius",,"500"
"Number of prevalent tuberculosis cases ","2010","Sweden",,"1100"
"Number of deaths due to tuberculosis excluding HIV","2008","Botswana",,"500"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Colombia",,"2.5"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Indonesia",,"27"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Rwanda",,"11"
"Prevalence of tuberculosis (per 100 000 population)","2008","Brunei Darussalam",,"99"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Armenia",,"5.6"
"Number of deaths due to tuberculosis excluding HIV","2009","Monaco",,"0.07"
"Number of prevalent tuberculosis cases ","2010","Republic of Moldova",,"8800"
"Number of prevalent tuberculosis cases ","2007","Libya",,"2900"
"Prevalence of tuberculosis (per 100 000 population)","2010","Liberia",,"493"
"Number of prevalent tuberculosis cases ","2008","Niue",,"0.17"
"Prevalence of tuberculosis (per 100 000 population)","2009","Sao Tome and Principe",,"142"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Ghana",,"10"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Swaziland",,"39"
"Prevalence of tuberculosis (per 100 000 population)","2008","Kiribati",,"618"
"Number of deaths due to tuberculosis excluding HIV","2010","Sri Lanka",,"590"
"Number of deaths due to tuberculosis excluding HIV","2008","Venezuela (Bolivarian Republic of)",,"690"
"Number of prevalent tuberculosis cases ","2012","Ethiopia",,"210000"
"Number of deaths due to tuberculosis excluding HIV","2008","Myanmar",,"29000"
"Prevalence of tuberculosis (per 100 000 population)","2011","Albania",,"23"
"Number of deaths due to tuberculosis excluding HIV","2007","Argentina",,"660"
"Number of prevalent tuberculosis cases ","2012","Netherlands",,"1400"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Guatemala",,"2.2"
"Number of prevalent tuberculosis cases ","2012","Italy",,"5700"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Senegal",,"20"
"Prevalence of tuberculosis (per 100 000 population)","2007","Lao People's Democratic Republic",,"663"
"Number of prevalent tuberculosis cases ","2007","Austria",,"1300"
"Number of prevalent tuberculosis cases ","2009","Namibia",,"20000"
"Number of prevalent tuberculosis cases ","2011","Saint Kitts and Nevis",,"2.7"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Benin",,"9.5"
"Number of deaths due to tuberculosis excluding HIV","2008","Mali",,"1300"
"Number of prevalent tuberculosis cases ","2007","Cambodia",,"150000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Serbia",,"2.1"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Bolivia (Plurinational State of)",,"23"
"Prevalence of tuberculosis (per 100 000 population)","2010","Kuwait",,"58"
"Prevalence of tuberculosis (per 100 000 population)","2008","Comoros",,"65"
"Number of prevalent tuberculosis cases ","2012","Kenya",,"130000"
"Number of deaths due to tuberculosis excluding HIV","2012","Peru",,"1500"
"Number of prevalent tuberculosis cases ","2012","Namibia",,"16000"
"Number of deaths due to tuberculosis excluding HIV","2010","United Republic of Tanzania",,"6200"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Slovenia",,"1.3"
"Prevalence of tuberculosis (per 100 000 population)","2008","Mexico",,"33"
"Number of deaths due to tuberculosis excluding HIV","2011","Montenegro",,"1.2"
"Number of deaths due to tuberculosis excluding HIV","2007","Norway",,"3.1"
"Number of prevalent tuberculosis cases ","2009","Algeria",,"54000"
"Prevalence of tuberculosis (per 100 000 population)","2008","Vanuatu",,"118"
"Number of prevalent tuberculosis cases ","2008","Rwanda",,"16000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Israel",,"0.2"
"Number of deaths due to tuberculosis excluding HIV","2007","Djibouti",,"670"
"Prevalence of tuberculosis (per 100 000 population)","2007","Saint Vincent and the Grenadines",,"25"
"Number of deaths due to tuberculosis excluding HIV","2007","United Kingdom",,"340"
"Number of prevalent tuberculosis cases ","2012","Uzbekistan",,"39000"
"Prevalence of tuberculosis (per 100 000 population)","2010","Bosnia and Herzegovina",,"67"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Philippines",,"26"
"Number of prevalent tuberculosis cases ","2011","Mali",,"13000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Singapore",,"1.7"
"Number of deaths due to tuberculosis excluding HIV","2010","Thailand",,"10000"
"Prevalence of tuberculosis (per 100 000 population)","2009","Lebanon",,"18"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Jordan",,"0.62"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Belgium",,"0.4"
"Number of prevalent tuberculosis cases ","2012","Finland",,"390"
"Prevalence of tuberculosis (per 100 000 population)","2010","Lao People's Democratic Republic",,"565"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Mongolia",,"7.4"
"Number of prevalent tuberculosis cases ","2007","Iran (Islamic Republic of)",,"22000"
"Number of prevalent tuberculosis cases ","2011","Myanmar",,"260000"
"Number of deaths due to tuberculosis excluding HIV","2011","Greece",,"78"
"Number of prevalent tuberculosis cases ","2010","Seychelles",,"48"
"Prevalence of tuberculosis (per 100 000 population)","2009","Bhutan",,"357"
"Number of deaths due to tuberculosis excluding HIV","2007","Bahamas",,"3"
"Number of deaths due to tuberculosis excluding HIV","2007","Italy",,"330"
"Prevalence of tuberculosis (per 100 000 population)","2010","Bolivia (Plurinational State of)",,"227"
"Prevalence of tuberculosis (per 100 000 population)","2011","Palau",,"100"
"Prevalence of tuberculosis (per 100 000 population)","2007","Somalia",,"536"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Croatia",,"1.5"
"Number of prevalent tuberculosis cases ","2008","Armenia",,"3300"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","France",,"0.53"
"Number of prevalent tuberculosis cases ","2007","Bolivia (Plurinational State of)",,"24000"
"Prevalence of tuberculosis (per 100 000 population)","2011","Mexico",,"34"
"Prevalence of tuberculosis (per 100 000 population)","2008","Niger",,"211"
"Number of deaths due to tuberculosis excluding HIV","2008","Turkey",,"820"
"Number of prevalent tuberculosis cases ","2012","Saudi Arabia",,"4900"
"Number of deaths due to tuberculosis excluding HIV","2007","Pakistan",,"73000"
"Number of prevalent tuberculosis cases ","2008","Singapore",,"2600"
"Prevalence of tuberculosis (per 100 000 population)","2009","Nigeria",,"206"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Panama",,"5.1"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Azerbaijan",,"4.2"
"Number of deaths due to tuberculosis excluding HIV","2009","Czech Republic",,"48"
"Number of deaths due to tuberculosis excluding HIV","2011","Equatorial Guinea",,"0"
"Prevalence of tuberculosis (per 100 000 population)","2009","Trinidad and Tobago",,"29"
"Number of deaths due to tuberculosis excluding HIV","2008","Mongolia",,"210"
"Number of deaths due to tuberculosis excluding HIV","2010","Uzbekistan",,"1500"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Tuvalu",,"33"
"Prevalence of tuberculosis (per 100 000 population)","2011","Jordan",,"8.5"
"Prevalence of tuberculosis (per 100 000 population)","2012","Central African Republic",,"520"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Azerbaijan",,"4.2"
"Prevalence of tuberculosis (per 100 000 population)","2008","Papua New Guinea",,"544"
"Number of prevalent tuberculosis cases ","2012","Monaco",,"1"
"Number of prevalent tuberculosis cases ","2011","Malta",,"44"
"Number of prevalent tuberculosis cases ","2010","Guinea-Bissau",,"4800"
"Prevalence of tuberculosis (per 100 000 population)","2011","Eritrea",,"160"
"Number of prevalent tuberculosis cases ","2010","Norway",,"440"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Antigua and Barbuda",,"1.3"
"Prevalence of tuberculosis (per 100 000 population)","2012","Ukraine",,"137"
"Number of prevalent tuberculosis cases ","2007","Colombia",,"25000"
"Prevalence of tuberculosis (per 100 000 population)","2007","Japan",,"31"
"Prevalence of tuberculosis (per 100 000 population)","2007","Madagascar",,"492"
"Number of deaths due to tuberculosis excluding HIV","2007","Bangladesh",,"71000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Singapore",,"2.1"
"Number of deaths due to tuberculosis excluding HIV","2011","Malaysia",,"1600"
"Number of deaths due to tuberculosis excluding HIV","2008","Croatia",,"100"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Colombia",,"1.9"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Seychelles",,"1.8"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","France",,"0.58"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2007","Belarus",,"10"
"Number of prevalent tuberculosis cases ","2007","Ecuador",,"19000"
"Number of prevalent tuberculosis cases ","2007","Morocco",,"41000"
"Number of prevalent tuberculosis cases ","2010","United Kingdom",,"11000"
"Number of deaths due to tuberculosis excluding HIV","2010","Lithuania",,"210"
"Number of prevalent tuberculosis cases ","2011","Guatemala",,"16000"
"Number of prevalent tuberculosis cases ","2011","Venezuela (Bolivarian Republic of)",,"15000"
"Prevalence of tuberculosis (per 100 000 population)","2012","Nigeria",,"161"
"Number of prevalent tuberculosis cases ","2009","Gambia",,"7200"
"Prevalence of tuberculosis (per 100 000 population)","2008","Guyana",,"135"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Palau",,"8.8"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Kazakhstan",,"16"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Venezuela (Bolivarian Republic of)",,"2.4"
"Number of prevalent tuberculosis cases ","2009","Switzerland",,"840"
"Number of prevalent tuberculosis cases ","2008","Tonga",,"32"
"Number of deaths due to tuberculosis excluding HIV","2012","Democratic Republic of the Congo",,"36000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Fiji",,"2"
"Number of prevalent tuberculosis cases ","2008","Albania",,"700"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Tonga",,"2.6"
"Prevalence of tuberculosis (per 100 000 population)","2008","Albania",,"22"
"Number of prevalent tuberculosis cases ","2010","United Republic of Tanzania",,"86000"
"Number of deaths due to tuberculosis excluding HIV","2010","Republic of Korea",,"2500"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","China",,"3.8"
"Number of deaths due to tuberculosis excluding HIV","2012","Ukraine",,"6100"
"Number of prevalent tuberculosis cases ","2012","Uruguay",,"1100"
"Number of prevalent tuberculosis cases ","2007","Kuwait",,"960"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","El Salvador",,"1"
"Prevalence of tuberculosis (per 100 000 population)","2007","Austria",,"16"
"Number of prevalent tuberculosis cases ","2012","Chile",,"3600"
"Number of prevalent tuberculosis cases ","2007","Bulgaria",,"5300"
"Prevalence of tuberculosis (per 100 000 population)","2008","Tonga",,"31"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Mali",,"9.8"
"Number of deaths due to tuberculosis excluding HIV","2011","Venezuela (Bolivarian Republic of)",,"720"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2008","Australia",,"0.23"
"Number of deaths due to tuberculosis excluding HIV","2010","Guinea-Bissau",,"430"
"Number of deaths due to tuberculosis excluding HIV","2010","Bulgaria",,"190"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2010","Guinea-Bissau",,"27"
"Number of deaths due to tuberculosis excluding HIV","2009","Paraguay",,"190"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2012","Togo",,"8.7"
"Number of prevalent tuberculosis cases ","2010","Sri Lanka",,"22000"
"Number of deaths due to tuberculosis excluding HIV","2009","The former Yugoslav Republic of Macedonia",,"19"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2011","Gabon",,"46"
"Number of prevalent tuberculosis cases ","2008","Venezuela (Bolivarian Republic of)",,"14000"
"Number of prevalent tuberculosis cases ","2007","Republic of Korea",,"76000"
"Deaths due to tuberculosis among HIV-negative people (per 100 000 population)","2009","Lesotho",,"13"
